adb	5.0.2~6fe92d1a-r3	55.93 KiB	Android Debug Bridge (adb) is a versatile command line tool that lets you communicate with an emulator instance or connected Android-powered device.	
 
apk-mbedtls	3.0.0_pre20241113-r1	132.54 KiB	apk package manager (mbedtls)	
 
ath10k-board-qca4019	20241017-r1	79.80 KiB	ath10k qca4019 board firmware	
 
ath10k-firmware-qca4019-ct	2020.11.08-r1	428.91 KiB	Alternative ath10k firmware for IPQ4019 radio from Candela Technologies. Enables IBSS and other features. Works with standard or ath10k-ct driver. See: http://www.candelatech.com/ath10k-10.4.php	
 
attendedsysupgrade-common	9	1.38 KiB	Common needed files for attendedsysupgrade tool Manages dependencies and brings settings used by clients. UCI options: * attendedsysupgrade.server.url URL of compatible upgrade server [1] * attendedsysupgrade.client.upgrade_packages Client should request image also if no new release but new packages upgrade are available. * attendedsysupgrade.client.advanced_mode Offer advanced options like editing packages before request and show additional information. * attendedsysupgrade.client.auto_search Tells the cli	
 
banip	1.0.0-r10	23.55 KiB	banIP blocks IPs via named nftables Sets. banIP supports many IP blocklist feeds and provides a log service to block suspicious IPs in realtime. Please see https://github.com/openwrt/packages/blob/master/net/banip/files/README.md for further information.	
 
base-files	1637~52519a59a8	66.39 KiB	This package contains a base filesystem and system scripts for OpenWrt.	
 
bash	5.2.32-r1	415.30 KiB	Bash is an sh-compatible command language interpreter that executes commands read from the standard input or from a file. Bash also incorporates useful features from the Korn and C shells (ksh and csh).	
 
block-mount	2024.07.14~408c2cc4-r1	27.35 KiB	Block device mounting and checking	
 
blockd	2024.07.14~408c2cc4-r1	6.68 KiB	Block device automounting	
 
busybox	1.36.1-r2	231.27 KiB	The Swiss Army Knife of embedded Linux. It slices, it dices, it makes Julian Fries.	
 
ca-bundle	20240203-r1	125.23 KiB	System CA certificates as a bundle	
 
cgi-io	2022.08.10~901b0f04-r21	8.90 KiB	This package contains an cgi utility that is useful for up/downloading files	
 
collectd	5.12.0-r53	88.27 KiB	collectd is a small daemon which collects system information periodically and provides mechanismns to store the values in a variety of ways.	
 
collectd-mod-cpu	5.12.0-r53	4.55 KiB	CPU input plugin	
 
collectd-mod-interface	5.12.0-r53	3.95 KiB	network interfaces input plugin	
 
collectd-mod-iwinfo	5.12.0-r53	4.08 KiB	libiwinfo wireless statistics plugin	
 
collectd-mod-load	5.12.0-r53	2.47 KiB	system load input plugin	
 
collectd-mod-memory	5.12.0-r53	3.28 KiB	physical memory usage input plugin	
 
collectd-mod-network	5.12.0-r53	15.07 KiB	network input/output plugin	
 
collectd-mod-rrdtool	5.12.0-r53	11.79 KiB	RRDtool output plugin	
 
curl	8.10.1-r1	63.00 KiB	A client-side URL transfer utility	
 
dnsmasq	2.90-r3	141.37 KiB	It is intended to provide coupled DNS and DHCP service to a LAN.	
 
dropbear	2024.85-r2	101.89 KiB	A small SSH2 server/client designed for small memory environments.	
 
firewall4	2024.05.21~4c01d1eb-r1	30.28 KiB	This package provides an nftables-based implementation of the UCI firewall sharing the same configuration format.	
 
fstools	2024.07.14~408c2cc4-r1	17.39 KiB	OpenWrt filesystem tools	
 
fwtool	2019.11.12~8f7fe925-r1	4.21 KiB	Utility for appending and extracting firmware metadata and signatures	
 
getdns	1.7.3-r2	164.71 KiB	This package contains the getdns library (libgetdns). This package also contains the "getdns_query" command line wrapper for getdns exposing the features of this implementation (both in the official API and the additional API functions).	
 
getrandom	2024.04.26~85f10530-r1	1.98 KiB	OpenWrt getrandom system helper	
 
hostapd-common	2024.09.15~5ace39b0-r1	2.62 KiB	hostapd/wpa_supplicant common support files	
 
ip-tiny	6.11.0-r1	143.61 KiB	Routing control utility (minimal)	
 
iperf3	3.17.1-r4	2.61 KiB	Iperf is a modern alternative for measuring TCP and UDP bandwidth performance, allowing the tuning of various parameters and characteristics.	
 
irqbalance	1.9.4-r1	48.38 KiB	The purpose of irqbalance is to distribute hardware interrupts across processors/cores on a multiprocessor/multicore system in order to increase performance.	
 
iw	6.9-r1	49.44 KiB	cfg80211 interface configuration utility	
 
iwinfo	2024.10.20~b94f066e-r1	7.74 KiB	Command line frontend for the wireless information library.	
 
jansson4	2.14-r3	19.69 KiB	Jansson is a C library for encoding, decoding and manipulating JSON data	
 
jshn	2024.03.29~eb9bcb64-r1	6.79 KiB	Library for parsing and generating JSON from shell scripts	
 
jsonfilter	2024.01.23~594cfa86-r1	9.48 KiB	OpenWrt JSON filter utility	
 
kernel	6.6.61~2b15d475-r1	3.82 KiB	Virtual kernel package	
 
kmod-asn1-decoder	6.6.61-r1	3.00 KiB	Simple ASN1 decoder	
 
kmod-ath	6.6.61.6.11.2-r1	13.26 KiB	This module contains some common parts needed by Atheros Wireless drivers.	
 
kmod-ath10k-ct	6.6.61.2024.07.30~ac71b14d-r2	244.14 KiB	ath10k-ct driver optimized for CT ath10k firmware	
 
kmod-cfg80211	6.6.61.6.11.2-r1	165.98 KiB	cfg80211 is the Linux wireless LAN (802.11) configuration API.	
 
kmod-crypto-acompress	6.6.61-r1	836 B	Asynchronous Compression operations	
 
kmod-crypto-aead	6.6.61-r1	907 B	CryptoAPI AEAD support	
 
kmod-crypto-ccm	6.6.61-r1	856 B	Support for Counter with CBC MAC (CCM)	
 
kmod-crypto-cmac	6.6.61-r1	3.19 KiB	Support for Cipher-based Message Authentication Code (CMAC)	
 
kmod-crypto-crc32c	6.6.61-r1	2.10 KiB	CRC32c CRC module	
 
kmod-crypto-ctr	6.6.61-r1	851 B	Counter Mode CryptoAPI module	
 
kmod-crypto-des	6.6.61-r1	826 B	DES/3DES cipher CryptoAPI module	
 
kmod-crypto-ecb	6.6.61-r1	847 B	Electronic CodeBook CryptoAPI module	
 
kmod-crypto-gcm	6.6.61-r1	856 B	GCM/GMAC CryptoAPI module	
 
kmod-crypto-geniv	6.6.61-r1	859 B	CryptoAPI Shared IV generator	
 
kmod-crypto-gf128	6.6.61-r1	850 B	GF(2^128) multiplication functions CryptoAPI module	
 
kmod-crypto-ghash	6.6.61-r1	7.82 KiB	GHASH digest CryptoAPI module	
 
kmod-crypto-hash	6.6.61-r1	885 B	CryptoAPI hash support	
 
kmod-crypto-hmac	6.6.61-r1	858 B	HMAC digest CryptoAPI module	
 
kmod-crypto-kpp	6.6.61-r1	2.46 KiB	Key-agreement Protocol Primitives	
 
kmod-crypto-lib-chacha20	6.6.61-r1	5.95 KiB	ChaCha library interface	
 
kmod-crypto-lib-chacha20poly1305	6.6.61-r1	3.94 KiB	ChaCha20-Poly1305 AEAD support (8-byte nonce library version)	
 
kmod-crypto-lib-curve25519	6.6.61-r1	12.20 KiB	Curve25519 scalar multiplication library	
 
kmod-crypto-lib-poly1305	6.6.61-r1	5.85 KiB	Poly1305 library interface	
 
kmod-crypto-manager	6.6.61-r1	915 B	CryptoAPI algorithm manager	
 
kmod-crypto-md5	6.6.61-r1	4.25 KiB	MD5 digest CryptoAPI module	
 
kmod-crypto-null	6.6.61-r1	833 B	Null CryptoAPI module	
 
kmod-crypto-rng	6.6.61-r1	910 B	CryptoAPI random number generation	
 
